"","GO.Slim.Term","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","GO.Term"
"74","cytoplasm",0.188781864620878,0.857902466535154,59,171,NA
"75","proteasomal ubiquitin-dependent protein catabolic process",0.191450762928184,0.94372178059091,4,8,NA
"76","regulation of transcription, DNA-dependent",0.19834194175156,0.885705456022709,14,36,NA
"77","nucleic acid binding",0.201187305714517,0.874816655119337,18,49,NA
"78","DNA-directed DNA polymerase activity",0.201484231671945,0.957853622324449,3,5,NA
"79","cysteine-type endopeptidase activity",0.202910568747176,0.957392520851233,3,5,NA
"80","response to nutrient",0.205480772737026,0.95655644400621,3,5,NA
"81","transposition, RNA-mediated",0.209045731009383,0.974656568052869,2,3,NA
"82","cell projection organization",0.209045731009662,0.974656568052811,2,3,NA
"83","MAPKKK cascade",0.212770057201017,0.973878730812,2,3,NA
"84","integral to endoplasmic reticulum membrane",0.214037258516703,0.973611526590039,2,3,NA
"85","protein K63-linked deubiquitination",0.214392492875293,0.973536389046952,2,3,NA
"86","spermatogenesis, exchange of chromosomal proteins",0.219408123253006,0.97246463344027,2,3,NA
"87","regulation of translation",0.219414715617846,0.97246321138164,2,3,NA
"88","negative regulation of transforming growth factor beta receptor signaling pathway",0.219766856458629,0.972387198903651,2,3,NA
"89","autophagic vacuole",0.220347736117555,0.951589307800878,3,5,NA
"90","G-protein coupled receptor protein signaling pathway",0.221166157408668,0.930683484148432,4,8,NA
"91","cell cycle",0.223420699049852,0.878088305252938,11,27,NA
"92","chromatin silencing",0.226292188586418,0.970960454068002,2,3,NA
"93","positive regulation of phosphoinositide 3-kinase activity",0.228384561331769,0.97049563238553,2,3,NA
"94","protein amino acid phosphorylation",0.233206815232469,0.874889189065665,10,25,NA
"95","ion channel activity",0.233952357696692,0.969241332512298,2,3,NA
"96","transmembrane transport",0.238548660425955,0.907755477882028,5,11,NA
"97","positive regulation of endothelial cell migration",0.238917802260599,0.968101294956729,2,3,NA
"98","neuron projection development",0.243653984047061,0.943352358327653,3,5,NA
"99","protein phosphatase binding",0.243728609732273,0.966977392484716,2,3,NA
"100","peptidyl-tyrosine phosphorylation",0.24612905775694,0.966409441425485,2,3,NA
"101","apical part of cell",0.249574402201711,0.965585907283762,2,3,NA
"102","regulation of cytokinesis",0.249952208857616,0.965495000141721,2,3,NA
"103","regulation of small GTPase mediated signal transduction",0.250577159231488,0.965344364687429,2,3,NA
"104","P granule",0.251469349496855,0.940466681059937,3,5,NA
"105","postsynaptic density",0.2528043129325,0.915727580364689,4,8,NA
"106","protein homooligomerization",0.252891941471816,0.964783581160284,2,3,NA
"107","cytoskeleton organization",0.254949285373778,0.964281406948528,2,3,NA
"108","dendrite morphogenesis",0.255593669264931,0.964123391459122,2,3,NA
"109","microtubule-based movement",0.258618862990412,0.900537363708965,5,10,NA
"110","cerebellar Purkinje cell differentiation",0.263416943650493,0.962177134091072,2,3,NA
"111","protein transporter activity",0.264253686102108,0.961965915214712,2,3,NA
"112","chromatoid body",0.264506431763808,0.961901998105285,2,3,NA
"113","piRNA metabolic process",0.264506431763808,0.961901998105285,2,3,NA
"114","positive regulation of proteasomal ubiquitin-dependent protein catabolic process",0.264585654653015,0.926274563210511,3,6,NA
"115","germ cell development",0.268238970648978,0.960951765611603,2,3,NA
"116","signal transduction",0.269345878402664,0.860749321632829,8,20,"DNA damage checkpoint"
"117","integrin binding",0.269875150860609,0.96053149289757,2,3,NA
"118","endonuclease activity",0.271825479961129,0.923092290191677,3,6,NA
"119","p53 binding",0.272473937491321,0.959859271188052,2,3,NA
"120","skeletal system development",0.273717176956043,0.959535644641431,2,3,NA
"121","methyltransferase activity",0.273855898930931,0.922189411293852,3,6,NA
"122","4 iron, 4 sulfur cluster binding",0.276264386070917,0.958868446691528,2,3,NA
"123","heparin binding",0.279589248176477,0.95798916674176,2,3,NA
"124","ER to Golgi vesicle-mediated transport",0.280531336489996,0.957738293503237,2,3,NA
"125","protein kinase activity",0.283829865508381,0.844024659640127,9,23,NA
"126","anaphase-promoting complex",0.284559380135816,0.956656988249299,2,3,NA
"127","negative regulation of autophagy",0.285304876255579,0.956455321213275,2,3,NA
"128","regulation of apoptosis",0.286078882360398,0.916657523207524,3,6,NA
"129","oxidoreductase activity",0.2861056659006,0.877442477631735,5,12,NA
"130","DNA recombination",0.286491056452882,0.877208781162252,5,12,NA
"131","parasitophorous vacuole",0.294744663611291,1,1,1,NA
"132","cell-substrate adhesion",0.294744663611324,1,1,1,NA
"133","chemotaxis to cAMP",0.294744663611324,1,1,1,NA
"134","culmination during sorocarp development",0.294744663611324,1,1,1,NA
"135","ESC/E(Z) complex",0.294744663611345,1,1,1,NA
"136","negative regulation of chromatin silencing",0.294744663611345,1,1,1,NA
"137","PRC1 complex",0.294744663611345,1,1,1,NA
"138","DNA photolyase activity",0.294744663611461,1,1,1,NA
"139","protein-chromophore linkage",0.294744663611461,1,1,1,NA
"140","germ cell migration",0.294744663611499,1,1,1,NA
"141","DNA-dependent DNA replication",0.294744663611517,1,1,1,NA
"142","sister chromatid cohesion",0.294744663611517,1,1,1,NA
"143","cerebral cortex regionalization",0.294744663611519,1,1,1,NA
"144","poly-purine tract binding",0.294744663611519,1,1,1,NA
"145","inhibition of adenylate cyclase activity by G-protein signaling",0.294744663611559,1,1,1,NA
"146","negative regulation of cAMP metabolic process",0.294744663611559,1,1,1,NA
"147","serotonin receptor activity",0.294744663611559,1,1,1,NA
"148","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity",0.294744663611562,1,1,1,NA
"149","behavioral response to ethanol",0.294744663611569,1,1,1,NA
"150","cellular response to insulin stimulus",0.294744663611569,1,1,1,NA
"151","NAD-dependent histone deacetylase activity",0.294744663611569,1,1,1,NA
"152","NAD binding",0.294744663611569,1,1,1,NA
"153","protein amino acid deacetylation",0.294744663611569,1,1,1,NA
"154","protein deacetylase activity",0.294744663611569,1,1,1,NA
"155","DNA translocase activity",0.294744663611578,1,1,1,NA
"156","4-hydroxy-4-methyl-2-oxoglutarate aldolase activity",0.294744663611591,1,1,1,NA
"157","oxaloacetate decarboxylase activity",0.294744663611591,1,1,1,NA
"158","regulation of RNA metabolic process",0.294744663611591,1,1,1,NA
"159","ribonuclease inhibitor activity",0.294744663611591,1,1,1,NA
"160","polar tube",0.294744663611598,1,1,1,NA
"161","response to virus",0.294744663611637,1,1,1,NA
"162","calcium-dependent cell-cell adhesion",0.294744663611647,1,1,1,NA
"163","RNA polymerase I transcription factor complex",0.294744663611665,1,1,1,NA
"164","transcription from RNA polymerase I promoter",0.294744663611665,1,1,1,NA
"165","chromosome passenger complex",0.294744663611668,1,1,1,NA
"166","condensed nuclear chromosome, centromeric region",0.294744663611668,1,1,1,NA
"167","histone serine kinase activity",0.294744663611668,1,1,1,NA
"168","meiotic spindle organization",0.294744663611668,1,1,1,NA
"169","mitotic centrosome separation",0.294744663611668,1,1,1,NA
"170","mitotic spindle organization",0.294744663611668,1,1,1,NA
"171","protein serine/threonine/tyrosine kinase activity",0.294744663611668,1,1,1,NA
"172","spindle microtubule",0.294744663611668,1,1,1,NA
"173","choline biosynthetic process",0.294744663611672,1,1,1,NA
"174","phosphatidylcholine biosynthetic process",0.294744663611672,1,1,1,NA
"175","phosphoethanolamine N-methyltransferase activity",0.294744663611672,1,1,1,NA
"176","pollen development",0.294744663611672,1,1,1,NA
"177","pollen tube growth",0.294744663611672,1,1,1,NA
"178","pollen tube guidance",0.294744663611672,1,1,1,NA
"179","post-embryonic root development",0.294744663611672,1,1,1,NA
"180","regulation of DNA repair",0.294744663611672,1,1,1,NA
"181","response to UV",0.294744663611672,1,1,1,NA
"182","unidimensional cell growth",0.294744663611672,1,1,1,NA
"183","box H/ACA snoRNA binding",0.294744663611672,1,1,1,NA
"184","box H/ACA snoRNP complex",0.294744663611672,1,1,1,NA
"185","pseudouridine synthesis",0.294744663611672,1,1,1,NA
"186","snoRNA guided rRNA pseudouridine synthesis",0.294744663611672,1,1,1,NA
"187","acyl-CoA binding",0.294744663611674,1,1,1,NA
"188","acyl-CoA metabolic process",0.294744663611674,1,1,1,NA
"189","carbon monoxide binding",0.294744663611674,1,1,1,NA
"190","carboxylic acid binding",0.294744663611674,1,1,1,NA
"191","cell wall",0.294744663611674,1,1,1,NA
"192","hydroxymethylglutaryl-CoA lyase activity",0.294744663611674,1,1,1,NA
"193","ketone body biosynthetic process",0.294744663611674,1,1,1,NA
"194","liver development",0.294744663611674,1,1,1,NA
"195","mitochondrial electron transport, cytochrome c to oxygen",0.294744663611674,1,1,1,NA
"196","negative regulation of axon extension",0.294744663611674,1,1,1,NA
"197","negative regulation of axon regeneration",0.294744663611674,1,1,1,NA
"198","negative regulation of collateral sprouting",0.294744663611674,1,1,1,NA
"199","nitric oxide binding",0.294744663611674,1,1,1,NA
"200","oxygen sensor activity",0.294744663611674,1,1,1,NA
"201","protein tetramerization",0.294744663611674,1,1,1,NA
"202","response to fatty acid",0.294744663611674,1,1,1,NA
"203","response to starvation",0.294744663611674,1,1,1,NA
"204","cation channel activity",0.294744663611674,1,1,1,NA
"205","glutathione transferase activity",0.294744663611674,1,1,1,NA
"206","transmembrane ion transport",0.294744663611674,1,1,1,NA
"207","intermediate filament cytoskeleton organization",0.294744911024939,1,1,1,NA
"208","nuclear inclusion body",0.294744911024939,1,1,1,NA
"209","regulation of cell-substrate adhesion",0.294744911024939,1,1,1,NA
"210","FAD transmembrane transporter activity",0.294745686237872,1,1,1,NA
"211","folic acid metabolic process",0.294745686237872,1,1,1,NA
"212","folic acid transport",0.294745686237872,1,1,1,NA
"213","folic acid transporter activity",0.294745686237872,1,1,1,NA
"214","glycine metabolic process",0.294745686237872,1,1,1,NA
"215","ferritin receptor activity",0.294748345379402,1,1,1,NA
"216","protein homotrimerization",0.294748345379402,1,1,1,NA
"217","transmembrane iron ion transport",0.294748345379402,1,1,1,NA
"218","positive regulation of kinase activity",0.294760450048999,1,1,1,NA
"219","dolichol kinase activity",0.294760690200976,1,1,1,NA
"220","dolichyl monophosphate biosynthetic process",0.294760690200976,1,1,1,NA
"221","creatine transport",0.294770509329993,1,1,1,NA
"222","creatine transporter activity",0.294770509329993,1,1,1,NA
"223","monocarboxylic acid transport",0.294770509329993,1,1,1,NA
"224","lateral ventricle development",0.294772135489445,1,1,1,NA
"225","neuroblast division in the subventricular zone",0.294772135489445,1,1,1,NA
"226","positive regulation of neurogenesis",0.294772135489445,1,1,1,NA
"227","protein metabolic process",0.294772135489445,1,1,1,NA
"228","SMN complex",0.294776802219867,1,1,1,NA
"229","biosynthetic process",0.294779564463406,1,1,1,NA
"230","glutamate metabolic process",0.294779564463406,1,1,1,NA
"231","L-phenylalanine catabolic process",0.294779564463406,1,1,1,NA
"232","L-tyrosine:2-oxoglutarate aminotransferase activity",0.294779564463406,1,1,1,NA
"233","lyase activity",0.294779564463406,1,1,1,NA
"234","response to glucocorticoid stimulus",0.294779564463406,1,1,1,NA
"235","response to mercury ion",0.294779564463406,1,1,1,NA
"236","tyrosine catabolic process",0.294779564463406,1,1,1,NA
"237","histone deacetylase binding",0.294818056165333,1,1,1,NA
"238","negative regulation of osteoblast differentiation",0.294818056165333,1,1,1,NA
"239","negative regulation of transcription factor activity",0.294818056165333,1,1,1,NA
"240","aryl hydrocarbon receptor activity",0.294880744567136,1,1,1,NA
"241","aryl hydrocarbon receptor complex",0.294880744567136,1,1,1,NA
"242","response to xenobiotic stimulus",0.294880744567136,1,1,1,NA
"243","negative regulation of actin filament polymerization",0.294905402699762,1,1,1,NA
"244","T cell receptor binding",0.294905402699762,1,1,1,NA
"245","nematocyst",0.295005742653328,1,1,1,NA
"246","intrinsic to internal side of plasma membrane",0.295113381777236,1,1,1,NA
"247","activation of MAPKKK activity",0.295151304768832,1,1,1,NA
"248","positive regulation of protein sumoylation",0.295151304768832,1,1,1,NA
"249","DNA binding",0.295225774392975,0.797728587152905,20,55,NA
"250","cytokinesis after mitosis",0.295353131307891,1,1,1,NA
"251","transcription factor TFIIA complex",0.295380789113186,1,1,1,NA
"252","transcription factor TFIID complex",0.295380789113186,1,1,1,NA
"253","nuclear origin of replication recognition complex",0.295542740744384,1,1,1,NA
"254","COPII vesicle coat",0.295551916252935,1,1,1,NA
"255","positive regulation of TOR signaling pathway",0.295551916252935,1,1,1,NA
"256","structural molecule activity",0.295551916252935,1,1,1,NA
"257","poly(A)+ mRNA export from nucleus",0.295825372334971,1,1,1,NA
"258","spleen development",0.295825372334971,1,1,1,NA
"259","transcription export complex 2",0.295825372334971,1,1,1,NA
"260","nuclear mRNA splicing, via spliceosome",0.29587266257866,0.88813590456835,4,9,NA
"261","dihydrolipoyl dehydrogenase activity",0.296003731615882,1,1,1,NA
"262","oxoglutarate dehydrogenase complex",0.296003731615882,1,1,1,NA
"263","mitochondrial sorting and assembly machinery complex",0.296109131341428,1,1,1,NA
"264","entrainment of circadian clock",0.296136367992838,1,1,1,NA
"265","G-protein beta/gamma-subunit binding",0.296136367992838,1,1,1,NA
"266","guanyl nucleotide binding",0.296136367992838,1,1,1,NA
"267","muscarinic acetylcholine receptor signaling pathway",0.296136367992838,1,1,1,NA
"268","phototransduction, visible light",0.296136367992838,1,1,1,NA
"269","chromosome separation",0.296155361118381,1,1,1,NA
"270","DNA-directed RNA polymerase II, holoenzyme",0.296155361118381,1,1,1,NA
"271","DNA metabolic process",0.296155361118381,1,1,1,NA
"272","negative regulation of RNA elongation from RNA polymerase II promoter",0.296155361118381,1,1,1,NA
"273","post-chaperonin tubulin folding pathway",0.296270940385605,1,1,1,NA
"274","metalloaminopeptidase activity",0.29649630442307,1,1,1,NA
"275","regulation of proteolysis",0.296588200190774,1,1,1,NA
"276","1-phosphatidylinositol-4-phosphate 5-kinase activity",0.29692732889128,1,1,1,NA
"277","phenylalanine-tRNA ligase activity",0.297032251684724,1,1,1,NA
"278","phenylalanine-tRNA ligase complex",0.297032251684724,1,1,1,NA
"279","phenylalanyl-tRNA aminoacylation",0.297032251684724,1,1,1,NA
"280","adipose tissue development",0.297132342511138,1,1,1,NA
"281","cellular response to hormone stimulus",0.297147262698239,1,1,1,NA
"282","neuropeptide receptor activity",0.297147262698239,1,1,1,NA
"283","olfactory receptor activity",0.297147262698239,1,1,1,NA
"284","peptide binding",0.297147262698239,1,1,1,NA
"285","chitin binding",0.29724226795842,1,1,1,NA
"286","chitin metabolic process",0.29724226795842,1,1,1,NA
"287","cilium motion involved in determination of left/right asymmetry",0.29724226795842,1,1,1,NA
"288","lung development",0.29724226795842,1,1,1,NA
"289","activation of store-operated calcium channel activity",0.297507740744654,1,1,1,NA
"290","calcium channel regulator activity",0.297507740744654,1,1,1,NA
"291","detection of calcium ion",0.297507740744654,1,1,1,NA
"292","enamel mineralization",0.297507740744654,1,1,1,NA
"293","microtubule plus-end binding",0.297507740744654,1,1,1,NA
"294","myotube differentiation",0.297507740744654,1,1,1,NA
"295","regulation of calcium ion transport",0.297507740744654,1,1,1,NA
"296","sarcoplasmic reticulum membrane",0.297507740744654,1,1,1,NA
"297","store-operated calcium channel activity",0.297507740744654,1,1,1,NA
"298","store-operated calcium entry",0.297507740744654,1,1,1,NA
"299","tRNA dihydrouridine synthase activity",0.297610399596134,1,1,1,NA
"300","stereocilium bundle tip",0.298581105681555,1,1,1,NA
"301","exoribonuclease activity, producing 5'-phosphomonoesters",0.299226279133118,1,1,1,NA
"302","host cell membrane",0.299226279133118,1,1,1,NA
"303","omega peptidase activity",0.299226279133118,1,1,1,NA
"304","RNA-directed RNA polymerase activity",0.299226279133118,1,1,1,NA
"305","viral genome replication",0.299226279133118,1,1,1,NA
"306","viral protein processing",0.299226279133118,1,1,1,NA
"307","alpha-L-fucosidase activity",0.300267174825819,1,1,1,NA
"308","fucose metabolic process",0.300267174825819,1,1,1,NA
"309","cell-cell signaling",0.300493815382944,1,1,1,"neurotransmitter uptake"
"310","endochondral ossification",0.300493815382944,1,1,1,NA
"311","endothelial cell proliferation",0.300493815382944,1,1,1,NA
"312","heart trabecula formation",0.300493815382944,1,1,1,NA
"313","leukocyte migration",0.300493815382944,1,1,1,NA
"314","positive regulation of focal adhesion formation",0.300493815382944,1,1,1,NA
"315","Ras guanyl-nucleotide exchange factor activity",0.300493815382944,1,1,1,NA
"316","regulation of establishment or maintenance of cell polarity",0.300493815382944,1,1,1,NA
"317","response to cAMP",0.300493815382944,1,1,1,NA
"318","response to peptide hormone stimulus",0.300493815382944,1,1,1,NA
"319","sprouting angiogenesis",0.300493815382944,1,1,1,NA
"320","Tie receptor signaling pathway",0.300493815382944,1,1,1,NA
"321","transcription factor binding",0.301784570827697,0.884802609310371,4,9,NA
"322","collagen metabolic process",0.302142503657542,1,1,1,NA
"323","procollagen-proline 3-dioxygenase activity",0.302142503657542,1,1,1,NA
"324","protein amino acid hydroxylation",0.302142503657542,1,1,1,NA
"325","brain morphogenesis",0.302261397140869,1,1,1,NA
"326","cytidylyltransferase activity",0.302261397140869,1,1,1,NA
"327","D-ribitol-5-phosphate cytidylyltransferase activity",0.302261397140869,1,1,1,NA
"328","isoprenoid biosynthetic process",0.302261397140869,1,1,1,NA
"329","muscle fiber development",0.302261397140869,1,1,1,NA
"330","regulation of protein amino acid glycosylation",0.302261397140869,1,1,1,NA
"331","arachidonate-CoA ligase activity",0.302517455672515,1,1,1,NA
"332","embryonic process involved in female pregnancy",0.302517455672515,1,1,1,NA
"333","fatty acid transport",0.302517455672515,1,1,1,NA
"334","lipid particle",0.302517455672515,1,1,1,NA
"335","long-chain-fatty-acid-CoA ligase activity",0.302517455672515,1,1,1,NA
"336","response to interleukin-15",0.302517455672515,1,1,1,NA
"337","triglyceride biosynthetic process",0.302517455672515,1,1,1,NA
"338","very-long-chain-fatty-acid-CoA ligase activity",0.302517455672515,1,1,1,NA
"339","cytosolic proteasome complex",0.30323091550512,1,1,1,NA
"340","nuclear proteasome complex",0.30323091550512,1,1,1,NA
"341","positive regulation of transcriptional preinitiation complex assembly",0.30323091550512,1,1,1,NA
"342","proteasome regulatory particle",0.30323091550512,1,1,1,NA
"343","proteasome regulatory particle, base subcomplex",0.30323091550512,1,1,1,NA
"344","histidine ammonia-lyase activity",0.303846168033755,1,1,1,NA
"345","actin filament",0.303888365862034,1,1,1,NA
"346","negative regulation of phosphatase activity",0.303888365862034,1,1,1,NA
"347","lysosome localization",0.303930641544802,1,1,1,NA
"348","negative regulation of cardiac muscle cell apoptosis",0.304510294751109,1,1,1,NA
"349","phagocytic vesicle",0.304510294751109,1,1,1,NA
"350","drug transporter activity",0.304663891287725,1,1,1,NA
"351","vesicle membrane",0.304663891287725,1,1,1,NA
"352","negative regulation of cell growth",0.304695884559817,1,1,1,NA
"353","nucleosome assembly",0.304695884559817,1,1,1,NA
"354","SWI/SNF complex",0.304695884559817,1,1,1,NA
"355","positive regulation of transcription of Notch receptor target",0.305442341696862,1,1,1,NA
"356","aggregation involved in sorocarp development",0.305577187634238,1,1,1,NA
"357","early phagosome",0.305577187634238,1,1,1,NA
"358","sorocarp development",0.305577187634238,1,1,1,NA
"359","otolith morphogenesis",0.306783079026348,1,1,1,NA
"360","endoplasmic reticulum membrane fusion",0.307960239296806,1,1,1,NA
"361","larval midgut cell programmed cell death",0.307960239296806,1,1,1,NA
"362","pole cell formation",0.307960239296806,1,1,1,NA
"363","positive regulation of virion penetration into host cell",0.307960239296806,1,1,1,NA
"364","regulation of neuron apoptosis",0.307960239296806,1,1,1,NA
"365","regulation of pole plasm oskar mRNA localization",0.307960239296806,1,1,1,NA
"366","cytoplasmic vesicle membrane",0.308339243886799,0.906154482561426,3,6,NA
"367","chordate embryonic development",0.308490060406369,1,1,1,NA
"368","focal adhesion",0.308534642095948,0.906059822560519,3,6,NA
"369","urocanate hydratase activity",0.308711568970564,1,1,1,NA
"370","AP-2 adaptor complex",0.309431872436456,1,1,1,NA
"371","negative regulation of tumor necrosis factor-mediated signaling pathway",0.313793766905467,1,1,1,NA
"372","anatomical structure morphogenesis",0.316616709183291,0.947542579046403,2,3,NA
"373","ADP-ribose diphosphatase activity",0.318199473507003,1,1,1,NA
"374","UDP-sugar diphosphatase activity",0.318199473507003,1,1,1,NA
"375","vesicle docking during exocytosis",0.318577088568192,1,1,1,NA
"376","calcium channel activity",0.319134742744415,1,1,1,NA
"377","calcium ion transport",0.319134742744415,1,1,1,NA
"378","cellular response to cold",0.319134742744415,1,1,1,NA
"379","channel activity",0.319134742744415,1,1,1,NA
"380","detection of chemical stimulus involved in sensory perception of pain",0.319134742744415,1,1,1,NA
"381","detection of mechanical stimulus involved in sensory perception of pain",0.319134742744415,1,1,1,NA
"382","response to cold",0.319134742744415,1,1,1,NA
"383","response to pain",0.319134742744415,1,1,1,NA
"384","sensory perception of pain",0.319134742744415,1,1,1,NA
"385","stereocilium bundle",0.319134742744415,1,1,1,NA
"386","thermoception",0.319134742744415,1,1,1,NA
"387","transmembrane calcium ion transport",0.319134742744415,1,1,1,NA
"388","urinary bladder smooth muscle contraction",0.319134742744415,1,1,1,NA
"389","piRNA binding",0.319177920441023,1,1,1,NA
"390","anchored to membrane",0.319494549432816,1,1,1,NA
"391","endopeptidase inhibitor activity",0.319494549432816,1,1,1,NA
"392","negative regulation of keratinocyte proliferation",0.319494549432816,1,1,1,NA
"393","platelet alpha granule membrane",0.319494549432816,1,1,1,NA
"394","serine-type endopeptidase inhibitor activity",0.319494549432816,1,1,1,NA
"395","transforming growth factor beta binding",0.319494549432816,1,1,1,NA
"396","3-beta-hydroxy-delta5-steroid dehydrogenase activity",0.326323020878067,1,1,1,NA
"397","antibiotic biosynthetic process",0.326323020878067,1,1,1,NA
"398","coenzyme binding",0.326323020878067,1,1,1,NA
"399","isomerase activity",0.326323020878067,1,1,1,NA
"400","ligase activity",0.326323020878067,1,1,1,NA
"401","phosphopantetheine binding",0.326323020878067,1,1,1,NA
"402","axonemal microtubule depolymerization",0.32801089716173,1,1,1,NA
"403","plus-end-directed microtubule motor activity",0.32801089716173,1,1,1,NA
"404","plus-end specific microtubule depolymerization",0.32801089716173,1,1,1,NA
"405","transcription, DNA-dependent",0.329354772800057,0.768232808940275,20,58,NA
"406","dihydroxy-acid dehydratase activity",0.329899703738315,1,1,1,NA
"407","valine biosynthetic process",0.329899703738315,1,1,1,NA
"408","cohesin complex",0.330872587611447,1,1,1,NA
"409","calcium-dependent phospholipid binding",0.331458067328254,1,1,1,NA
"410","cellular water homeostasis",0.331458067328254,1,1,1,NA
"411","chromaffin granule membrane",0.331458067328254,1,1,1,NA
"412","epithelial cell differentiation",0.331458067328254,1,1,1,NA
"413","hemostasis",0.331458067328254,1,1,1,NA
"414","response to salt stress",0.331458067328254,1,1,1,NA
"415","anthranilate metabolic process",0.331542142705241,1,1,1,NA
